Timestamp,Day of the sale,Quantity,Month of the year,Day of the week,Price (per item unless its a set),Card amount paid,Cash amount paid,Product type,Handmade / Beaded collections,Sterling Silver collections,Gold Plated collections,details,Zirconia Color,Mohave type,Birth Stone type,Set type 
12/13/2024 9:58:59,7/15/2024,1,July,Monday,10,10,0,Handmade / Beaded,beaded bracelets,,,beads,,,,
12/13/2024 10:00:23,7/15/2024,1,July,Monday,45,43,2,Gold Plated,,,bracelets,Mohave Stone,,Mohave emerald,,
12/13/2024 10:01:35,7/15/2024,1,July,Monday,50,50,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,emerald,,,
12/13/2024 10:03:20,7/16/2024,1,July,Tuesday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,,
12/13/2024 10:04:20,7/16/2024,1,July,Tuesday,36,0,36,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,10,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,0,10,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:05:25,7/16/2024,1,July,Tuesday,10,5,5,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,,
12/13/2024 10:06:25,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:06:25,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:07:46,7/17/2024,1,July,Wednesday,10,10,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:09:31,7/17/2024,1,July,Wednesday,60,60,0,Sterling Silver,,Sterling Silver Bracelets,,Raw Stone,,,"3 colours, hydro Zirconia",
12/13/2024 10:10:49,7/17/2024,1,July,Wednesday,40,40,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,
12/13/2024 10:14:24,7/18/2024,1,July,Thursday,10,10,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:16:14,7/19/2024,1,July,Friday,35,35,0,Sterling Silver,,Sterling Silver anklets,,,,,,
12/13/2024 10:17:42,7/19/2024,1,July,Friday,12,12,0,Handmade / Beaded,beaded bracelets,,,,,,,
12/13/2024 10:19:04,7/19/2024,1,July,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:19:04,7/19/2024,1,July,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/13/2024 10:20:44,7/19/2024,1,July,Friday,22,22,0,Gold Plated,,,stud earings,,,,,
12/13/2024 10:21:55,7/19/2024,1,July,Friday,47,47,0,Gold Plated,,,necklaces,Raw Stone,,,Diamond white topaz (april),
12/13/2024 10:22:58,7/19/2024,1,July,Friday,20,20,0,Handmade / Beaded,beaded bracelets,,,brown lava,,,,
12/13/2024 10:24:05,7/20/2024,1,July,Saturday,48,0,48,Sterling Silver,,Sterling Silver Necklaces,,Allah,,,,
12/13/2024 10:25:25,7/20/2024,1,July,Saturday,28,28,0,Gold Plated,,,stud earings,Mohave Stone,,NA,,
12/13/2024 10:26:38,7/20/2024,1,July,Saturday,30,30,0,Sterling Silver,,Sterling Silver Necklaces,,Zirconia,white (diamond),,,
12/13/2024 10:27:37,7/20/2024,1,July,Saturday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,Flower,,,,
12/13/2024 10:28:59,7/20/2024,1,July,Saturday,36,36,0,Sterling Silver,,Sterling Silver Bracelets,,,,,,
12/13/2024 10:30:23,7/21/2024,1,July,Sunday,30,0,30,Gold Plated,,,dangling earings,Mohave Stone,,NA,,
12/13/2024 10:30:23,7/21/2024,1,July,Sunday,30,30,0,Gold Plated,,,dangling earings,Mohave Stone,,NA,,
12/13/2024 10:31:39,7/21/2024,1,July,Sunday,40,40,0,Sterling Silver,,Sterling Silver Necklaces,,Butterfly,,,,
12/13/2024 10:32:53,7/22/2024,1,July,Monday,49,49,0,Sterling Silver,,Sterling Silver Stud Earings,,,,,,
12/13/2024 10:34:16,7/22/2024,1,July,Monday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Raw Stone,,,Citrine,
12/13/2024 10:36:32,7/23/2024,1,July,Tuesday,30,30,0,Gold Plated,,,dangling earings,Mohave Stone,,Mohave sapphire,,
12/13/2024 10:37:58,7/24/2024,1,July,Wednesday,25,25,0,Gold Plated,,,dangling earings,Mohave Stone,,Mohave emerald,,
12/13/2024 10:38:50,7/24/2024,1,July,Wednesday,50,50,0,Gold Plated,,,necklaces,Mohave Stone,,Mohave emerald,,
12/13/2024 10:42:29,7/25/2024,1,July,Thursday,24,24,0,Gold Plated,,,dangling earings,Mohave Stone,,Mohave amethyst,,
12/13/2024 10:47:27,7/25/2024,1,July,Thursday,40,40,0,Gold Plated,,,bracelets,Mohave Stone,,Mohave amethyst,,
12/13/2024 10:48:34,7/25/2024,1,July,Thursday,22,22,0,Handmade / Beaded,,,bracelets,Raw Stone,,,Jasper,
12/13/2024 10:49:26,7/25/2024,1,July,Thursday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,,,,,
12/13/2024 10:52:23,7/26/2024,1,July,Friday,36,0,36,Gold Plated,,,necklaces,Raw Stone,,,Peridot (august),
12/13/2024 11:08:07,7/26/2024,1,July,Friday,30,0,30,Gold Plated,,,dangling earings,Mohave Stone,,Mohave white turquoise,,
12/13/2024 11:10:06,7/27/2024,1,July,Saturday,30,30,0,Sterling Silver,,Sterling Silver Rings,,Zirconia,white (diamond),,,
12/13/2024 11:10:55,7/27/2024,1,July,Saturday,20,20,0,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,
12/13/2024 11:12:03,7/27/2024,1,July,Saturday,22,22,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Rose & Hamsa Hand,
12/13/2024 11:13:00,7/27/2024,1,July,Saturday,35,35,0,Gold Plated,,,bracelets,Hamsa Hand,,,,
12/13/2024 11:19:51,7/27/2024,1,July,Saturday,50,50,0,Sterling Silver,,Sterling Silver Necklaces,,silver,,,,
12/13/2024 11:20:43,7/27/2024,1,July,Saturday,45,45,0,Sterling Silver,,Sterling Silver Bracelets,,silver,,,,
12/13/2024 15:54:29,7/29/2024,1,July,Monday,34,34,0,Gold Plated,,,dangling earings,Raw Stone,,,Emerald agate (may),
12/13/2024 15:56:12,7/29/2024,1,July,Monday,45,45,0,Gold Plated,,,rings,Raw Stone,,,Emerald & Pearl,
12/13/2024 15:57:07,7/29/2024,1,July,Monday,45,45,0,Gold Plated,,,necklaces,Raw Stone,,,Amethyst (february),
12/13/2024 15:59:33,7/29/2024,1,July,Monday,36,36,0,Gold Plated,,,stud earings,Raw Stone,,,Amethyst (february),
12/13/2024 16:01:23,7/30/2024,1,July,Tuesday,45,45,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,multi-colour,,,
12/13/2024 16:02:41,7/31/2024,1,July,Wednesday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,,,,,
12/13/2024 16:03:51,7/31/2024,1,July,Wednesday,27,27,0,Gold Plated,,,dangling earings,Mohave Stone,,NA,,
12/13/2024 16:03:51,7/31/2024,1,July,Wednesday,29,29,0,Gold Plated,,,dangling earings,Mohave Stone,,NA,,
12/13/2024 16:04:45,7/31/2024,1,July,Wednesday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/13/2024 21:58:44,8/1/2024,1,August,Thursday,10,0,10,Handmade / Beaded,beaded bracelets,,,pink lava 4mm,,,,
12/13/2024 22:00:13,8/2/2024,1,August,Friday,45,45,0,Sterling Silver,,Sterling Silver Necklaces,,Zirconia,multi colour,,,
12/13/2024 22:01:19,8/2/2024,1,August,Friday,50,50,0,Sterling Silver,,Sterling Silver Necklaces,,,,,,
12/13/2024 22:02:04,8/2/2024,1,August,Friday,40,40,0,Sterling Silver,,Sterling Silver Bracelets,,,,,,
12/14/2024 8:54:17,8/2/2024,1,August,Friday,45,45,0,Gold Plated,,,bracelets,Raw Stone,,,Opal tourmaline (october),
12/14/2024 8:55:32,8/2/2024,1,August,Friday,10,10,0,Handmade / Beaded,beaded bracelets,,,children,,,,
12/14/2024 8:57:10,8/2/2024,1,August,Friday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,,,,,
12/13/2024 22:03:01,8/3/2024,1,August,Saturday,45,45,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,Aquamarine,,,
12/14/2024 8:58:06,8/3/2024,1,August,Saturday,36,36,0,Sterling Silver,,Sterling Silver Necklaces,,Daisy,,,,
12/14/2024 8:58:57,8/3/2024,1,August,Saturday,30,30,0,Gold Plated,,,dangling earings,Mohave Stone,,Mohave ruby,,
12/14/2024 9:00:28,8/3/2024,1,August,Saturday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,multi colour,,,
12/14/2024 9:01:44,8/5/2024,1,August,Monday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Daisy,,,,
12/14/2024 9:02:47,8/7/2024,1,August,Wednesday,50,50,0,Sterling Silver,,Sterling Silver Necklaces,,AlHamdulillah,,,,
12/14/2024 9:03:52,8/7/2024,1,August,Wednesday,10,10,0,Handmade / Beaded,Earing Charms,,,Butterfly,,,,
12/14/2024 9:04:59,8/9/2024,1,August,Friday,10,10,0,Handmade / Beaded,beaded bracelets,,,multi colour,,,,
12/14/2024 9:06:36,8/9/2024,1,August,Friday,16,16,0,Handmade / Beaded,beaded bracelets,,,Love,,,,
12/14/2024 9:09:15,8/9/2024,1,August,Friday,39,39,0,Gold Plated,,,necklaces,Raw Stone,,,Sapphire (september),
12/15/2024 15:52:09,8/9/2024,1,August,Friday,26,26,0,Gold Plated,,,dangling earings,Mohave Stone,,N/A,,
12/14/2024 9:26:11,8/10/2024,1,August,Saturday,45,45,0,Sterling Silver,,Sterling Silver Rings,,Evil eye,,,,
12/14/2024 9:27:08,8/10/2024,1,August,Saturday,22,22,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Pearl moonstone (june),
12/14/2024 9:29:40,8/11/2024,1,August,Sunday,41,41,0,Sterling Silver,,Sterling Silver Necklaces,,Tree of life,,,,
12/14/2024 9:30:43,8/11/2024,1,August,Sunday,45,45,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/14/2024 9:30:43,8/11/2024,1,August,Sunday,45,45,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/14/2024 9:31:39,8/11/2024,1,August,Sunday,40,40,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/14/2024 9:33:20,8/12/2024,1,August,Monday,22,22,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,1 Peridot and 1 moonstone,
12/14/2024 9:33:20,8/12/2024,1,August,Monday,22,22,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,1 Peridot and 1 moonstone,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,34,0,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,34,0,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,
12/17/2024 13:12:45,8/13/2024,1,August,Tuesday,34,34,0,Gold Plated,,,dangling earings,Raw Stone,,,1 Peridot and 2 Ruby,
12/17/2024 13:13:47,8/13/2024,1,August,Tuesday,38,38,0,Gold Plated,,,necklaces,Pearl,,,,
12/17/2024 17:46:15,8/13/2024,1,August,Tuesday,71,71,0,Sterling Silver,,SET,,Evil eye,,,,Necklace & Studs
12/18/2024 9:56:36,8/14/2024,1,August,Wednesday,22,22,0,Handmade / Beaded,beaded bracelets,,,Green,,,,
12/18/2024 9:59:01,8/14/2024,1,August,Wednesday,45,45,0,Sterling Silver,,Sterling Silver Rings,,,,,,
12/18/2024 9:59:02,8/14/2024,1,August,Wednesday,45,45,0,Sterling Silver,,Sterling Silver Rings,,,,,,
12/29/2024 12:11:00,8/14/2024,1,September,Saturday,16,16,0,Sterling Silver,,Sterling Silver Stud Earings,,NA,,,,
12/29/2024 14:48:26,8/14/2024,1,August,Wednesday,22,22,0,Handmade / Beaded,beaded bracelets,,,green,,,,
12/29/2024 15:00:34,8/14/2024,2,August,Wednesday,45,45,0,Sterling Silver,,Sterling Silver Rings,,plain,,,,
12/29/2024 15:00:35,8/14/2024,1,August,Wednesday,45,45,0,Sterling Silver,,Sterling Silver Rings,,plain,,,,
12/29/2024 15:00:35,8/14/2024,1,August,Wednesday,45,45,0,Sterling Silver,,Sterling Silver Rings,,plain,,,,
12/18/2024 10:04:33,8/16/2024,1,August,Friday,35,35,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,
12/29/2024 14:58:23,8/16/2024,1,August,Friday,35,35,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,
12/18/2024 10:06:39,8/17/2024,1,August,Saturday,40,10,30,Sterling Silver,,Sterling Silver Nose rings,,Infinity,,,,
12/29/2024 14:57:40,8/17/2024,1,August,Saturday,40,10,30,Sterling Silver,,Sterling Silver Nose rings,,infinity,,,,
12/18/2024 10:10:07,8/18/2024,1,August,Sunday,25,25,0,Sterling Silver,,Sterling Silver Rings,,"Heart, adjustable.",,,,
12/29/2024 14:56:43,8/18/2024,1,August,Sunday,25,25,0,Sterling Silver,,Sterling Silver Rings,,heart,,,,
12/18/2024 10:11:26,8/19/2024,1,August,Monday,28,28,0,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),
12/29/2024 14:59:39,8/19/2024,1,August,Monday,28,28,0,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),
12/18/2024 11:30:26,8/21/2024,1,August,Wednesday,69,69,0,Sterling Silver,,SET,,Clover,,,,Necklace & Bracelet
12/18/2024 11:38:20,8/21/2024,1,August,Wednesday,40,40,0,Sterling Silver,,Sterling Silver Necklaces,,Tree of Life,,,,
12/18/2024 11:39:54,8/21/2024,1,August,Wednesday,32,32,0,Sterling Silver,,Sterling Silver anklets,,Tennis White,,,,
12/18/2024 11:43:46,8/21/2024,1,August,Wednesday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/18/2024 11:48:16,8/22/2024,1,August,Thursday,45,45,0,Sterling Silver,,Sterling Silver Rings,,,,,,
12/18/2024 11:49:58,8/22/2024,1,August,Thursday,48,48,0,Sterling Silver,,Sterling Silver Rings,,,,,,
12/18/2024 11:51:21,8/22/2024,1,August,Wednesday,25,20,5,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,
12/22/2024 17:21:31,8/22/2024,1,August,Wednesday,94,94,0,Sterling Silver,,SET,,N/A,,,,Necklace & Bracelet & Studs
12/18/2024 11:54:45,8/23/2024,1,August,Friday,60,60,0,Gold Plated,,,stud earings,Raw Stone,,,Pearl moonstone (june),
12/18/2024 11:56:04,8/23/2024,1,August,Friday,22,22,0,Handmade / Beaded,beaded bracelets,,,Lava,,,,
12/18/2024 11:57:30,8/23/2024,1,August,Friday,10,10,0,Handmade / Beaded,beaded bracelets,,,Blue with Eye,,,,
12/29/2024 14:44:15,8/23/2024,1,August,Friday,22,22,0,Handmade / Beaded,beaded bracelets,,,Lava,,,,
12/29/2024 14:50:41,8/23/2024,1,August,Friday,10,10,0,Handmade / Beaded,beaded bracelets,,,blue with eye,,,,
12/18/2024 12:39:31,8/26/2024,1,August,Monday,30,30,0,Gold Plated,,,stud earings,Pink,,,,
12/18/2024 12:53:28,8/28/2024,1,August,Wednesday,7.5,0,7.5,Handmade / Beaded,Earing Charms,,,,,,,
12/18/2024 12:53:28,8/28/2024,1,August,Wednesday,7.5,0,7.5,Handmade / Beaded,Earing Charms,,,,,,,
12/18/2024 12:53:28,8/28/2024,2,August,Wednesday,7.5,0,7.5,Handmade / Beaded,Earing Charms,,,,,,,
12/18/2024 12:54:52,8/28/2024,1,August,Wednesday,10,0,10,Handmade / Beaded,beaded bracelets,,,,,,,
12/18/2024 12:57:17,8/28/2024,1,August,Wednesday,38,38,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,
12/18/2024 12:58:43,8/28/2024,1,August,Wednesday,10,10,0,Handmade / Beaded,Earing Charms,,,Butterfly,,,,
12/29/2024 14:45:29,8/28/2024,1,August,Wednesday,10,10,0,Handmade / Beaded,Earing Charms,,,butterfly,,,,
12/29/2024 14:51:44,8/28/2024,1,August,Wednesday,7.5,0,7.5,Handmade / Beaded,Earing Charms,,,n/a,,,,
12/29/2024 14:53:41,8/28/2024,1,August,Wednesday,10,0,10,Handmade / Beaded,beaded bracelets,,,n/a,,,,
12/29/2024 15:01:23,8/28/2024,1,August,Wednesday,38,38,0,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,
12/29/2024 14:51:44,8/28/2024,1,August,Wednesday,7.5,0,7.5,Handmade / Beaded,Earing Charms,,,n/a,,,,
12/18/2024 13:00:09,8/29/2024,1,August,Thursday,20,20,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Obsidian ,
12/29/2024 14:54:34,8/29/2024,1,August,Thursday,20,20,0,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,obsidian,
12/18/2024 13:01:57,8/30/2024,1,August,Friday,22,22,0,Handmade / Beaded,beaded bracelets,,,Turkish,,,,
12/29/2024 14:49:28,8/30/2024,1,August,Friday,22,22,0,Handmade / Beaded,beaded bracelets,,,turkish,,,,
12/19/2024 15:14:07,8/31/2024,1,August,Saturday,40,40,0,Sterling Silver,,Sterling Silver Bracelets,,Orbit,,,,
12/19/2024 15:14:59,8/31/2024,1,August,Saturday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Circle,,,,
12/19/2024 15:16:09,8/31/2024,1,August,Saturday,100,100,0,Sterling Silver,,SET,,,,,,Necklace & Ring
12/19/2024 15:28:52,8/31/2024,1,August,Saturday,30,30,0,Sterling Silver,,Sterling Silver Rings,,,,,,
12/19/2024 15:40:11,8/31/2024,1,August,Saturday,40,40,0,Gold Plated,,,rings,Raw Stone,,,Amethyst (february),
12/19/2024 15:27:56,9/1/2024,1,September,Sunday,45,45,0,Gold Plated,,,necklaces,Mohave Stone,,Mohave emerald,,
12/19/2024 16:00:16,9/2/2024,1,September,Monday,20,20,0,Handmade / Beaded,beaded bracelets,,,,,,,
12/19/2024 16:39:02,9/4/2024,1,September,Wednesday,50,50,0,Sterling Silver,,Sterling Silver Rings,,Evil eye,,,,
12/19/2024 16:39:56,9/4/2024,1,September,Wednesday,28,28,0,Sterling Silver,,Sterling Silver Stud Earings,,Evil eye,,,,
12/19/2024 16:41:30,9/6/2024,1,September,Friday,130,130,0,Sterling Silver,,Sterling Silver Bangles,,Zirconia,white (diamond),,,
12/19/2024 16:43:06,9/6/2024,1,September,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,dog & white heart,,,,
12/19/2024 16:43:07,9/6/2024,1,September,Friday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,dog & white heart,,,,
12/19/2024 18:43:17,9/7/2024,1,September,Saturday,12,12,0,Sterling Silver,,Sterling Silver Nose rings,,Zirconia,white (diamond),,,
12/19/2024 18:44:17,9/7/2024,1,September,Saturday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/19/2024 18:44:17,9/7/2024,1,September,Saturday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/19/2024 18:44:17,9/7/2024,2,September,Saturday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,,,,,
12/29/2024 11:49:30,9/8/2024,1,September,Sunday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,small star,,,,
12/29/2024 11:50:21,9/8/2024,1,September,Sunday,45,45,0,Sterling Silver,,Sterling Silver Rings,,star,,,,
12/29/2024 11:51:11,9/8/2024,1,September,Sunday,10,10,0,Handmade / Beaded,beaded bracelets,,,kids,,,,
12/29/2024 11:53:17,9/8/2024,1,September,Sunday,20,0,20,Gold Plated,,,necklace chain,chain,,,,
12/29/2024 11:54:08,9/8/2024,1,September,Sunday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,bear & rabbit,,,,
12/29/2024 11:54:57,9/8/2024,1,September,Sunday,43,43,0,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/29/2024 11:54:09,9/8/2024,1,September,Sunday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,bear & rabbit,,,,
12/29/2024 11:57:05,9/9/2024,1,September,Monday,79,79,0,Gold Plated,,,SET,Evil eye,,,,Necklace & Studs
12/29/2024 11:57:57,9/9/2024,1,September,Monday,35,0,35,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,
12/29/2024 11:59:14,9/9/2024,1,September,Monday,10,0,10,Handmade / Beaded,beaded necklaces,,,hamsa hand,,,,
12/29/2024 12:00:11,9/9/2024,1,September,Monday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,flower,,,,
12/29/2024 12:01:22,9/9/2024,1,September,Monday,35,35,0,Gold Plated,,,rings,moon & star,,,,
12/29/2024 12:03:35,9/9/2024,1,September,Monday,30,30,0,Sterling Silver,,Sterling Silver Bracelets,,clover,,,,
12/29/2024 12:05:00,9/10/2024,1,September,Tuesday,28,28,0,Gold Plated,,,stud earings,Raw Stone,,,Peridot (august),
12/29/2024 12:06:09,9/10/2024,1,September,Tuesday,28,28,0,Gold Plated,,,dangling earings,Raw Stone,,,Peridot (august),
12/29/2024 12:07:13,9/11/2024,1,September,Wednesday,38,38,0,Sterling Silver,,Sterling Silver anklets,,star,,,,
12/29/2024 12:09:17,9/13/2024,1,September,Friday,30,30,0,Gold Plated,,,cufflinks,Mohave Stone,,Mohave emerald,,
12/29/2024 12:12:53,9/14/2024,1,September,Saturday,30,30,0,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,multi-colour,,,
12/29/2024 12:14:28,9/15/2024,1,September,Sunday,45,45,0,Gold Plated,,,bracelets,Raw Stone,,,Turquoise (december),
12/29/2024 12:15:37,9/15/2024,1,September,Sunday,48,48,0,Sterling Silver,,Sterling Silver Bangles,,daisy,,,,
12/29/2024 12:16:37,9/15/2024,1,September,Sunday,36,36,0,Sterling Silver,,Sterling Silver Rings,,daisy,,,,
12/29/2024 12:19:58,9/16/2024,1,September,Monday,45,45,0,Gold Plated,,,rings,sapphire & citrine,,,,
12/29/2024 12:21:25,9/16/2024,1,September,Monday,78,78,0,Gold Plated,,,SET,Raw Stone,,,Sapphire (september),Necklace & Earrings
12/29/2024 12:23:04,9/17/2024,1,September,Tuesday,18,18,0,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,
12/29/2024 12:28:04,9/17/2024,1,September,Tuesday,87,87,0,Gold Plated,,,SET,Raw Stone,,,Opal tourmaline (october),Necklace & Bracelet
12/29/2024 12:29:22,9/17/2024,1,September,Tuesday,40,40,0,Gold Plated,,,rings,Raw Stone,,,Ruby (july),
